ID,Square_Feet,Bedrooms,Bathrooms,Location,Year_Built,Condition,Price
1,1660,4.0,1,Suburban,2001,New,421400.0
2,4572,1.0,2,Suburban,1999,Good,910400.0
3,3892,3.0,2,Suburban,2007,Good,802400.0
4,1266,4.0,2,Suburban,2001,Average,230560.0
5,4244,5.0,1,Rural,1962,Old,375960.0
6,3971,5.0,1,Suburban,2008,Average,675360.0
7,3719,2.0,2,Urban,1988,New,1110700.0
8,930,2.0,2,Suburban,2002,New,232200.0
9,2485,5.0,2,Urban,2007,New,789500.0
10,1569,5.0,2,Suburban,1969,Good,319800.0
11,3191,2.0,1,Suburban,2012,Average,524560.0
12,3233,4.0,2,Urban,1959,Good,794250.0
13,1984,1.0,1,Urban,1975,New,562200.0
14,4185,2.0,3,Suburban,1968,Old,482200.0
15,4917,4.0,1,Urban,2010,Average,1015400.0
16,3704,4.0,3,Urban,1983,Good,941000.0
17,1274,4.0,1,Suburban,1993,Average,218840.0
18,1882,3.0,1,Rural,1967,Good,261300.0
19,3358,3.0,1,Suburban,2021,Old,435960.0
20,2847,4.0,2,Urban,1965,Old,419050.0
21,3547,5.0,1,Suburban,1975,New,858280.0
22,1775,,2,Urban,2014,Old,297250.0
23,2606,2.0,1,Suburban,2015,Good,538200.0
24,989,3.0,1,Suburban,1976,Good,185800.0
25,3534,5.0,3,Rural,1953,New,631120.0
26,3805,1.0,1,Rural,2000,New,676900.0
27,2699,3.0,2,Urban,1952,Old,373850.0
28,2067,4.0,3,Rural,2015,Old,233030.0
29,2328,4.0,3,Rural,1965,Good,346200.0
30,4002,4.0,1,Suburban,1977,Good,799400.0
31,4356,1.0,1,Urban,1993,Good,1074000.0
32,4690,5.0,3,Suburban,1967,New,1134600.0
33,1446,,2,Urban,1951,New,391800.0
34,3688,5.0,1,Suburban,1993,New,910120.0
35,3235,1.0,3,Urban,1969,Average,618000.0
36,1400,4.0,2,Suburban,2005,Average,256000.0
37,3163,,1,Rural,1972,New,546601.5110714823
38,2861,2.0,3,Urban,2009,Old,450150.0
39,1041,4.0,3,Suburban,2020,Average,237634.13095719938
40,2841,2.0,1,Urban,1994,Old,422150.0
41,3624,,2,Suburban,1996,Average,643888.4308580882
42,3412,2.0,2,Suburban,1986,Good,675400.0
43,2163,4.0,3,Urban,1957,Good,529750.0
44,2278,3.0,2,Suburban,1954,Good,426600.0
45,3356,4.0,3,Suburban,1972,Old,406720.0
46,1575,4.0,1,Urban,1959,Average,296000.0
47,4814,3.0,2,Suburban,1976,Average,763240.0
48,834,2.0,1,Suburban,1950,Old,52080.0
49,3952,1.0,3,Urban,2020,Good,1010000.0
50,2755,1.0,1,Rural,1957,Old,196950.0
51,2385,1.0,2,Suburban,1960,Good,434000.0
52,4743,1.0,1,Urban,1977,New,1391900.0
53,3873,5.0,2,Urban,1983,Average,794600.0
54,1821,1.0,2,Urban,1992,Old,253270.62012047734
55,4261,3.0,2,Suburban,1977,Old,505320.0
56,3413,,2,Suburban,1998,Good,677600.0
57,4643,4.0,2,Suburban,2010,Old,535964.9960630914
58,2300,1.0,3,Suburban,1986,Good,448000.0
59,961,2.0,1,Urban,1952,Good,194250.0
60,2781,3.0,3,Suburban,1958,Average,424960.0
61,1795,3.0,1,Rural,1951,Good,232250.0
62,4142,5.0,1,Rural,1972,Good,612027.7293974307
63,4598,4.0,1,Urban,2000,Old,711700.0
64,2075,3.0,3,Suburban,1966,Old,237000.0
65,1816,2.0,2,Urban,1974,Good,435000.0
66,1137,,2,Urban,1976,Good,257250.0
67,1678,3.0,3,Suburban,1969,Good,326600.0
68,1876,,2,Urban,2022,New,591800.0
69,4793,1.0,1,Urban,1985,Good,1175250.0
70,1179,5.0,2,Suburban,1977,New,296960.0
71,1292,3.0,2,Rural,1978,Old,111280.0
72,2862,3.0,2,Rural,1991,Average,351440.0
73,4684,2.0,1,Suburban,2007,Average,758440.0
74,864,4.0,2,Urban,1981,Average,180800.0
75,3368,5.0,2,Urban,1961,Average,671600.0
76,2827,4.0,2,Suburban,1979,Old,345240.0
77,3495,3.0,3,Rural,2009,Average,450400.0
78,2295,4.0,3,Suburban,1960,Old,267400.0
79,1191,1.0,2,Suburban,1960,Old,99920.0
80,4361,,3,Urban,1999,Good,1131250.0
81,3078,4.0,3,Urban,1950,Good,751500.0
82,3899,1.0,1,Urban,1976,Average,810669.8549233816
83,1000,2.0,3,Suburban,1981,Good,193000.0
84,3904,4.0,3,Urban,1955,New,1158200.0
85,3254,5.0,2,Suburban,1990,New,807960.0
86,4445,1.0,1,Urban,1985,Old,643750.0
87,1604,4.0,1,Suburban,1988,Good,330800.0
88,3531,2.0,1,Suburban,1979,Average,545960.0
89,3573,4.0,3,Suburban,2006,Average,609680.0
90,2370,1.0,2,Suburban,1960,New,525800.0
91,3490,4.0,1,Suburban,1952,Good,672000.0
92,4640,5.0,1,Urban,1997,New,1421000.0
93,1828,3.0,3,Urban,1955,Good,434000.0
94,1302,1.0,1,Rural,1956,Average,104240.0
95,1670,1.0,2,Urban,1993,New,491000.0
96,1006,1.0,1,Urban,2010,Good,253500.0
97,2284,1.0,2,Urban,2003,Average,456800.0
98,1663,4.0,2,Urban,2000,Good,442750.0
99,3590,5.0,2,Urban,1997,Average,752000.0
100,1363,2.0,3,Suburban,2010,Old,185560.0
101,4991,5.0,3,Rural,1989,Old,480190.0
102,2557,1.0,2,Suburban,1952,Good,460400.0
103,2478,4.0,2,Urban,1979,New,785609.341422004
104,4042,4.0,1,Suburban,1973,Good,803400.0
105,1859,1.0,1,Suburban,2016,Old,231080.0
106,2522,4.0,1,Suburban,1951,New,578280.0
107,4114,1.0,3,Urban,1993,Old,612100.0
108,3957,5.0,1,Urban,1989,Old,614550.0
109,3425,3.0,2,Suburban,1968,New,807000.0
110,3529,4.0,2,Suburban,2012,New,885960.0
111,2397,1.0,3,Suburban,1973,Old,262640.0
112,3860,1.0,3,Urban,1999,Average,773000.0
113,3493,4.0,1,Suburban,1969,New,829320.0
114,4427,2.0,3,Urban,2006,Old,682050.0
115,2163,1.0,2,Urban,1999,New,644900.0
116,2781,4.0,2,Urban,2007,New,868300.0
117,2463,1.0,3,Urban,1980,Old,374924.0370265184
118,2329,2.0,2,Urban,1986,Average,458800.0
119,2838,3.0,3,Urban,1953,Good,684500.0
120,4102,2.0,2,Urban,2007,Old,629300.0
121,3037,5.0,1,Urban,1959,Average,598400.0
122,2106,4.0,3,Urban,2012,Old,359900.0
123,4829,2.0,3,Urban,1985,Average,962800.0
124,3475,3.0,3,Urban,2004,Good,894750.0
125,2082,1.0,2,Urban,2006,Good,523500.0
126,1509,4.0,1,Urban,1992,New,466700.0
127,4548,2.0,3,Urban,2014,New,1390400.0
128,1463,,2,Urban,1961,Good,343750.0
129,2798,2.0,3,Suburban,2011,Old,358760.0
130,4245,5.0,2,Suburban,1973,Good,859000.0
131,4543,4.0,1,Suburban,1951,Average,699880.0
132,2295,1.0,2,Suburban,1996,Average,360200.0
133,4104,3.0,2,Rural,2005,Average,514480.0
134,4563,2.0,3,Urban,1965,Good,1030892.2333056463
135,2653,4.0,2,Suburban,1983,New,646720.0
136,2091,2.0,3,Suburban,1967,Average,313560.0
137,4381,4.0,2,Rural,1978,Average,530720.0
138,4257,5.0,1,Urban,2003,Good,1099250.0
139,2436,2.0,2,Suburban,2000,Average,396760.0
140,4496,5.0,3,Suburban,1963,Good,904200.0
141,3799,3.0,2,Suburban,2007,New,935760.0
142,3952,5.0,2,Suburban,1984,Average,653320.0
143,1498,4.0,1,Rural,1958,Average,159760.0
144,2960,3.0,3,Suburban,1986,Average,481600.0
145,4897,2.0,1,Urban,1961,Good,1187250.0
146,1654,2.0,2,Urban,1960,Good,380500.0
147,4274,,1,Urban,1976,Old,639100.0
148,2507,1.0,2,Urban,1992,New,741100.0
149,3577,1.0,2,Urban,1999,Old,532550.0
150,2533,2.0,1,Suburban,1969,Old,274960.0
151,4310,4.0,1,Suburban,1962,Old,501200.0
152,1002,1.0,2,Urban,1996,Good,243500.0
