studytime,absences,GPA,course_grade
4,5,2.82,60
4,1,1.69,60
4,2,1.83,60
4,3,3.57,95
4,5,2.24,45
3,0,2.86,75
1,0,3.35,55
3,3,1.34,45
2,4,3.06,50
3,3,2.82,75
4,4,3.32,75
3,3,1.91,35
1,5,3.23,40
2,6,2.13,35
3,3,3.03,75
1,4,2.48,30
3,1,2.89,60
2,3,2.52,60
3,3,1.58,35
4,2,0.94,50
3,4,2.6,60
1,3,2.37,40
3,5,2.7,50
1,3,2.37,30
2,3,3.51,70
3,2,2.62,60
2,0,2.28,45
2,4,2.67,60
3,3,2.29,60
1,2,2.55,55
2,4,1.89,45
2,6,2.5,35
3,4,2.26,55
3,4,1.94,40
3,2,3.49,65
3,1,1.96,55
3,1,2.5,70
4,1,2.1,70
3,4,2.65,50
1,3,1.86,25
2,4,2.92,55
1,4,3.52,40
1,2,2.08,40
4,6,3.11,70
3,3,2.31,45
2,1,3.25,55
1,3,3.59,65
3,2,2.38,60
3,2,1.74,60
4,3,2.97,90
4,3,2.61,80
4,3,2.75,70
2,3,2.33,30
1,6,2.06,30
4,6,3.08,85
4,3,2.66,70
4,3,1.78,45
1,3,2.84,40
1,2,2.74,45
4,3,2.34,60
4,3,3.31,65
3,3,2.19,55
4,1,2.42,70
2,4,2.88,65
2,1,2.54,55
4,4,1.81,60
1,2,2.59,45
3,2,2.29,60
1,5,2.93,30
4,4,2.58,60
2,1,2.55,65
3,1,1.98,60
1,5,2.38,30
1,3,2.99,50
4,1,2.11,75
3,1,2.48,80
2,5,2.03,40
4,4,1.91,50
3,4,2.46,55
1,1,2.59,50
4,0,3.5,100
1,4,2.27,20
1,2,2.47,45
4,4,1.87,50
4,1,2.81,75
4,1,2.7,85
4,4,3.24,85
4,2,3.06,75
1,1,2.68,45
2,1,2.26,45
2,3,2.6,75
4,4,2.44,70
1,2,2.98,45
2,2,2.91,70
2,4,2.35,55
2,3,1.77,50
1,1,3.17,70
4,1,2.79,85
4,3,2.34,65
4,2,2.77,75
3,3,2.54,60
3,2,3.16,70
3,6,1.54,45
1,7,2.3,25
2,4,3.3,65
2,2,2.78,60
1,2,3.39,50
1,0,1.89,25
4,5,3.04,65
4,2,3.01,75
3,4,1.66,45
3,4,2.35,50
1,4,2.45,40
3,5,1.69,40
2,3,2.36,50
1,3,2.94,45
1,5,2.3,45
2,4,2.62,40
4,3,2.62,90
4,4,2.49,65
2,3,2.15,35
2,3,2.83,55
3,4,1.71,70
1,3,2.5,45
3,1,3.19,80
2,3,2.28,55
3,2,2.14,50
2,2,2.86,60
3,4,2.58,60
3,4,2.87,75
4,1,2.52,75
2,7,1.31,20
3,3,3.09,60
1,2,3.54,60
3,6,3.14,65
3,0,0.73,30
1,6,2.73,40
2,3,2.27,50
4,3,1.96,70
4,5,2.56,75
4,5,2.43,65
1,2,2.75,40
3,4,2.53,50
2,3,1.94,55
3,6,2.21,50
4,1,2.13,85
3,3,1.64,50
1,5,1.81,30
1,3,2.39,45
2,2,3.21,55
2,0,2.23,55
4,1,2.12,60
2,4,1.91,35
3,6,2.52,60
1,2,3.09,45
1,4,3.5,55
1,1,2.64,35
2,1,2.57,65
1,9,2.23,15
1,2,2.31,30
1,2,2.81,35
4,3,2.34,65
4,4,2.42,50
2,2,2.49,50
1,1,2.2,50
2,2,2.46,50
1,1,1.49,20
1,0,2.77,55
1,3,3.68,60
2,2,2.22,65
2,6,2.69,50
1,2,2.93,50
3,2,3.14,80
2,2,2.37,50
4,6,1.6,50
2,1,2.63,70
1,4,2.56,25
3,4,2.33,60
1,2,2.43,40
4,3,2.57,70
2,0,2.68,55
2,3,2.66,55
1,4,2.39,35
1,2,2.69,40
4,4,2.36,60
3,0,2.82,60
4,2,2.19,60
3,4,2.54,55
2,4,1.69,35
3,2,2.32,75
3,3,2.78,60
2,4,1.98,30
2,4,2.34,40
2,3,1.3,35
4,3,1.82,65
2,3,1.95,45
1,2,2.55,50
2,3,2.67,60
2,4,2.47,45
2,5,2.31,60
3,5,2.31,50
4,1,2.86,80
2,5,2.61,55
4,4,2.33,70
1,2,3.15,35
1,2,3.47,55
2,1,1.88,50
1,3,2.76,35
4,5,4.04,95
3,1,2.64,70
2,2,2.56,60
1,3,2.47,35
4,3,2.75,80
4,3,2.88,75
1,3,1.88,45
4,5,2.49,85
4,4,1.37,60
2,3,2.4,50
4,5,2.05,75
1,4,2.67,45
2,1,1.67,35
1,3,2.24,35
3,3,2.98,75
1,1,2.16,45
1,5,1.55,10
2,3,2.63,45
4,2,2.21,65
1,3,2.41,45
2,3,2.14,50
3,3,3.49,75
2,1,1.72,35
2,5,3.92,80
4,1,2.3,65
1,4,2.59,50
3,2,2.21,65
2,3,2.19,55
1,4,2.11,30
1,3,2.8,45
2,8,1.79,25
1,2,2.68,40
2,2,1.41,40
2,1,2.64,70
2,1,2.92,50
3,5,1.86,40
2,2,2.84,50
4,0,2.53,75
1,2,3.3,55
3,5,2.07,55
1,4,3.91,60
3,4,1.3,40
4,4,2.34,70
3,4,1.65,45
3,1,3.43,85
3,3,2.37,55
1,1,2.41,55
2,4,2.72,70
1,4,2.5,45
2,3,2.2,45
1,3,1.87,35
4,3,2.58,65
4,4,2.69,70
3,2,2.85,60
4,3,3.46,90
3,4,1.41,35
2,5,2.47,40
4,2,3.1,65
2,2,2.44,45
1,1,1.33,30
2,2,1.85,35
1,4,2.66,50
2,2,2.65,50
2,2,2.84,60
4,4,2.11,55
2,3,2.63,55
4,4,2.03,50
4,1,2.63,75
3,3,2.53,55
3,6,2.09,55
1,3,3.28,55
2,1,1.65,35
1,3,2.43,35
2,6,2.08,30
3,4,3.42,80
3,4,2.8,70
2,1,2.18,40
2,5,2.36,50
3,0,3.43,75
3,5,2.03,45
1,2,1.62,30
3,0,2.65,85
2,3,2.66,45
1,6,2.83,45
2,3,2.84,45
4,2,3.39,75
1,2,1.64,30
2,2,1.9,45
3,3,2.83,45
4,7,1.95,60
2,0,1.77,30
1,3,3.43,55
